Target URL,Place,Parameter,Technique(s),Note(s)
http://www.slavsandtatars.com/about.php?id=25,GET,id,BET,
http://www.bible-history.com/subcat.php?id=2,GET,id,BETU,
http://www.aradergalleries.com/catgallery.php?id=2,GET,id,BET,
http://www.icdcprague.org/index.php?id=10,GET,id,BT,
http://www.coreworld.in/news.php?id=382,GET,id,BETU,
https://facebook.com:443/profile.php?id,,,,
http://www.mesrs.gouv.qc.ca:80/index.php,,,,
http://www.starbrightbooks.org:80/details.php,,,,
http://emui.huawei.com:80/en/plugin.php,,,,
http://www.sallatykka.com/web/index.php?id=31,GET,id,BT,
http://www.tokaiguitar.de/produktdetail.php?id=15,GET,id,BETU,
http://www.leong-leong.com:80/news.php,,,,
http://www.sfu.ac.at:80/english/index.php,,,,
http://www.police.gov.bd/content.php?id=275,GET,id,U,
http://www.id.ee:80/index.php,,,,
https://www.migration.gov.rw:443/index.php,,,,
http://mobverify.com:80/cl.php,,,,
